InformationID,Age,Height,Weight,Season_ID
500000,36.0,198.12,99.79024,300000
500001,28.0,215.9,117.93392,300001
500002,39.0,205.74,95.25432,300002
500003,24.0,203.2,100.697424,300003
500004,34.0,205.74,108.86208,300004
500005,38.0,200.66,97.52228,300005
500006,25.0,198.12,86.18248,300006
500007,28.0,213.36,113.398,300007
500008,29.0,193.04,86.18248,300008
500009,28.0,182.88,72.57472,300009
500010,27.0,182.88,77.11064,300010
500011,27.0,213.36,122.46984,300011
500012,28.0,195.58,87.996848,300012
500013,34.0,190.5,80.285784,300013
500014,31.0,210.82,120.20188,300014
500015,27.0,210.82,106.59412,300015
500016,25.0,213.36,122.46984,300016
500017,29.0,185.42,86.18248,300017
500018,26.0,200.66,97.52228,300018
500019,24.0,190.5,90.7184,300019
500020,24.0,203.2,99.79024,300020
500021,21.0,210.82,120.20188,300021
500022,23.0,190.5,95.25432,300022
500023,29.0,210.82,111.13004,300023
500024,32.0,200.66,97.52228,300024
500025,29.0,213.36,108.86208,300025
500026,30.0,198.12,99.79024,300026
500027,27.0,190.5,86.18248,300027
500028,27.0,190.5,92.98636,300028
500029,28.0,203.2,106.59412,300029
500030,22.0,185.42,90.7184,300030
500031,35.0,193.04,93.439952,300031
500032,29.0,205.74,108.86208,300032
500033,24.0,210.82,102.0582,300033
500034,30.0,208.28,117.93392,300034
500035,30.0,205.74,92.98636,300035
500036,34.0,208.28,106.59412,300036
500037,25.0,200.66,108.86208,300037
500038,27.0,193.04,83.91452,300038
500039,27.0,200.66,106.59412,300039
500040,25.0,205.74,112.490816,300040
500041,30.0,210.82,102.0582,300041
500042,37.0,203.2,104.32616,300042
500043,27.0,208.28,106.59412,300043
500044,23.0,203.2,113.398,300044
500045,31.0,203.2,98.883056,300045
500046,28.0,177.8,72.57472,300046
500047,23.0,195.58,88.904032,300047
500048,24.0,200.66,104.32616,300048
500049,23.0,203.2,116.119552,300049
500050,24.0,205.74,104.32616,300050
500051,27.0,198.12,92.98636,300051
500052,31.0,218.44,113.398,300052
500053,33.0,195.58,92.98636,300053
500054,29.0,213.36,127.00576,300054
500055,25.0,185.42,83.91452,300055
500056,23.0,210.82,129.27372,300056
500057,34.0,210.82,111.13004,300057
500058,24.0,187.96,80.285784,300058
500059,27.0,195.58,83.007336,300059
500060,27.0,208.28,122.46984,300060
500061,26.0,195.58,97.52228,300061
500062,26.0,208.28,111.13004,300062
500063,33.0,208.28,109.769264,300063
500064,24.0,203.2,95.25432,300064
500065,24.0,203.2,113.398,300065
500066,26.0,187.96,81.64656,300066
500067,25.0,198.12,81.64656,300067
500068,22.0,203.2,115.66596,300068
500069,25.0,200.66,86.18248,300069
500070,29.0,198.12,95.25432,300070
500071,24.0,203.2,116.119552,300071
500072,24.0,193.04,94.347136,300072
500073,23.0,200.66,102.0582,300073
500074,29.0,205.74,108.86208,300074
500075,31.0,195.58,95.25432,300075
500076,34.0,193.04,86.18248,300076
500077,22.0,193.04,86.18248,300077
500078,18.0,210.82,102.511792,300078
500079,31.0,208.28,111.13004,300079
500080,30.0,190.5,86.18248,300080
500081,39.0,210.82,117.93392,300081
500082,31.0,203.2,99.79024,300082
500083,36.0,208.28,98.883056,300083
500084,32.0,190.5,83.91452,300084
500085,28.0,193.04,86.18248,300085
500086,22.0,203.2,113.398,300086
500087,28.0,190.5,86.18248,300087
500088,26.0,203.2,103.418976,300088
500089,30.0,203.2,102.0582,300089
500090,23.0,213.36,119.748288,300090
500091,33.0,198.12,102.0582,300091
500092,26.0,231.14,137.438376,300092
500093,30.0,203.2,99.79024,300093
500094,37.0,205.74,108.86208,300094
500095,24.0,200.66,106.59412,300095
500096,31.0,205.74,112.490816,300096
500097,33.0,208.28,113.398,300097
500098,29.0,185.42,81.64656,300098
500099,33.0,215.9,120.20188,300099
500100,28.0,210.82,113.398,300100
500101,26.0,193.04,82.553744,300101
500102,25.0,198.12,95.25432,300102
500103,24.0,218.44,127.00576,300103
500104,34.0,213.36,115.66596,300104
500105,31.0,205.74,102.0582,300105
500106,31.0,187.96,81.64656,300106
500107,24.0,203.2,102.0582,300107
500108,28.0,187.96,87.089664,300108
500109,30.0,210.82,113.398,300109
500110,32.0,205.74,104.32616,300110
500111,25.0,203.2,104.32616,300111
500112,32.0,180.34,81.64656,300112
500113,29.0,187.96,79.3786,300113
500114,24.0,205.74,108.86208,300114
500115,22.0,205.74,108.86208,300115
500116,32.0,213.36,113.398,300116
500117,34.0,213.36,111.13004,300117
500118,28.0,205.74,102.0582,300118
500119,29.0,187.96,82.553744,300119
500120,28.0,210.82,117.93392,300120
500121,31.0,193.04,103.418976,300121
500122,26.0,203.2,95.25432,300122
500123,24.0,195.58,90.7184,300123
500124,26.0,182.88,74.84268,300124
500125,27.0,195.58,99.79024,300125
500126,32.0,210.82,104.32616,300126
500127,25.0,198.12,88.45044,300127
500128,28.0,185.42,83.91452,300128
500129,26.0,208.28,113.398,300129
500130,29.0,210.82,104.32616,300130
500131,23.0,203.2,99.79024,300131
500132,25.0,205.74,115.212368,300132
500133,31.0,198.12,90.7184,300133
500134,32.0,220.98,132.448864,300134
500135,33.0,205.74,117.93392,300135
500136,22.0,205.74,99.79024,300136
500137,25.0,203.2,104.32616,300137
500138,33.0,205.74,102.0582,300138
500139,24.0,195.58,94.800728,300139
500140,25.0,205.74,102.0582,300140
500141,27.0,210.82,108.86208,300141
500142,27.0,205.74,109.315672,300142
500143,30.0,203.2,120.20188,300143
500144,24.0,205.74,106.59412,300144
500145,29.0,187.96,89.811216,300145
500146,26.0,198.12,90.7184,300146
500147,22.0,182.88,74.84268,300147
500148,27.0,208.28,118.387512,300148
500149,26.0,193.04,87.543256,300149
500150,38.0,213.36,111.13004,300150
500151,24.0,208.28,104.32616,300151
500152,31.0,210.82,124.7378,300152
500153,25.0,200.66,97.52228,300153
500154,25.0,187.96,82.553744,300154
500155,30.0,203.2,113.398,300155
500156,25.0,205.74,115.66596,300156
500157,27.0,193.04,94.347136,300157
500158,35.0,205.74,115.66596,300158
500159,20.0,205.74,101.604608,300159
500160,28.0,205.74,104.32616,300160
500161,26.0,210.82,102.0582,300161
500162,23.0,210.82,106.59412,300162
500163,26.0,200.66,90.7184,300163
500164,24.0,213.36,124.7378,300164
500165,26.0,195.58,94.347136,300165
500166,30.0,208.28,102.0582,300166
500167,24.0,210.82,104.32616,300167
500168,35.0,200.66,100.697424,300168
500169,28.0,208.28,109.769264,300169
500170,23.0,200.66,111.13004,300170
500171,24.0,185.42,86.18248,300171
500172,35.0,198.12,81.64656,300172
500173,25.0,195.58,96.615096,300173
500174,28.0,210.82,104.32616,300174
500175,36.0,200.66,97.52228,300175
500176,23.0,177.8,77.564232,300176
500177,26.0,200.66,108.86208,300177
500178,31.0,198.12,99.79024,300178
500179,30.0,180.34,73.935496,300179
500180,30.0,208.28,106.59412,300180
500181,31.0,208.28,106.140528,300181
500182,29.0,185.42,81.64656,300182
500183,26.0,180.34,77.11064,300183
500184,25.0,200.66,92.98636,300184
500185,23.0,200.66,99.79024,300185
500186,31.0,215.9,106.59412,300186
500187,24.0,205.74,108.86208,300187
500188,26.0,185.42,89.811216,300188
500189,33.0,195.58,83.91452,300189
500190,38.0,210.82,117.93392,300190
500191,24.0,193.04,83.460928,300191
500192,29.0,203.2,97.52228,300192
500193,25.0,182.88,77.11064,300193
500194,26.0,200.66,102.0582,300194
500195,37.0,203.2,102.0582,300195
500196,36.0,193.04,92.98636,300196
500197,25.0,200.66,97.52228,300197
500198,30.0,205.74,102.0582,300198
500199,27.0,193.04,79.3786,300199
500200,26.0,210.82,99.79024,300200
500201,27.0,200.66,102.0582,300201
500202,34.0,198.12,114.305184,300202
500203,40.0,205.74,97.52228,300203
500204,33.0,205.74,111.13004,300204
500205,27.0,210.82,111.13004,300205
500206,31.0,208.28,110.676448,300206
500207,24.0,210.82,108.86208,300207
500208,23.0,198.12,99.79024,300208
500209,29.0,190.5,88.45044,300209
500210,32.0,210.82,108.86208,300210
500211,29.0,208.28,104.32616,300211
500212,27.0,200.66,99.79024,300212
500213,27.0,200.66,97.975872,300213
500214,31.0,203.2,99.79024,300214
500215,33.0,200.66,97.52228,300215
500216,23.0,195.58,90.7184,300216
500217,24.0,208.28,111.13004,300217
500218,26.0,187.96,86.18248,300218
500219,35.0,200.66,108.86208,300219
500220,24.0,193.04,92.079176,300220
500221,22.0,198.12,98.883056,300221
500222,30.0,187.96,88.45044,300222
500223,27.0,190.5,83.91452,300223
500224,27.0,200.66,99.79024,300224
500225,33.0,200.66,97.52228,300225
500226,36.0,205.74,115.66596,300226
500227,21.0,205.74,108.86208,300227
500228,33.0,195.58,90.7184,300228
500229,27.0,198.12,90.7184,300229
500230,31.0,180.34,74.84268,300230
500231,26.0,200.66,102.511792,300231
500232,29.0,208.28,104.32616,300232
500233,25.0,190.5,94.347136,300233
500234,31.0,200.66,103.418976,300234
500235,27.0,208.28,117.93392,300235
500236,35.0,187.96,83.91452,300236
500237,23.0,198.12,94.347136,300237
500238,26.0,182.88,81.64656,300238
500239,25.0,215.9,136.0776,300239
500240,20.0,205.74,104.32616,300240
500241,24.0,210.82,117.93392,300241
500242,25.0,228.6,112.490816,300242
500243,27.0,208.28,116.119552,300243
500244,24.0,205.74,93.439952,300244
500245,25.0,210.82,113.398,300245
500246,29.0,203.2,99.79024,300246
500247,30.0,185.42,88.45044,300247
500248,23.0,208.28,106.59412,300248
500249,33.0,198.12,97.975872,300249
500250,24.0,187.96,85.275296,300250
500251,29.0,187.96,86.18248,300251
500252,22.0,193.04,94.800728,300252
500253,22.0,210.82,102.0582,300253
500254,21.0,195.58,92.98636,300254
500255,24.0,205.74,101.604608,300255
500256,23.0,187.96,84.821704,300256
500257,29.0,193.04,88.45044,300257
500258,31.0,200.66,83.91452,300258
500259,26.0,200.66,97.52228,300259
500260,33.0,201.0,86.0,300260
500261,32.0,210.82,114.758776,300261
500262,29.0,193.04,88.45044,300262
500263,27.0,210.82,111.13004,300263
500264,27.0,200.66,112.944408,300264
500265,38.0,208.28,117.93392,300265
500266,37.0,193.04,97.52228,300266
500267,30.0,223.52,120.20188,300267
500268,26.0,208.28,99.79024,300268
500269,28.0,187.96,86.18248,300269
500270,43.0,215.9,110.676448,300270
500271,26.0,210.82,113.398,300271
500272,30.0,190.5,83.91452,300272
500273,26.0,200.66,115.66596,300273
500274,27.0,193.04,86.18248,300274
500275,32.0,203.2,109.315672,300275
500276,28.0,203.2,92.98636,300276
500277,27.0,213.36,131.54168,300277
500278,31.0,193.04,90.7184,300278
500279,25.0,200.66,103.418976,300279
500280,24.0,180.34,82.553744,300280
500281,22.0,213.36,106.59412,300281
500282,34.0,198.12,102.0582,300282
500283,29.0,205.74,111.13004,300283
500284,24.0,177.8,68.945984,300284
500285,31.0,193.04,86.18248,300285
500286,25.0,210.82,111.13004,300286
500287,31.0,198.12,106.59412,300287
500288,30.0,193.04,90.7184,300288
500289,29.0,193.04,92.98636,300289
500290,22.0,208.28,127.00576,300290
500291,24.0,193.04,92.98636,300291
500292,27.0,203.2,104.32616,300292
500293,23.0,208.28,104.32616,300293
500294,33.0,205.74,117.93392,300294
500295,26.0,198.12,88.45044,300295
500296,31.0,213.36,108.86208,300296
500297,30.0,203.2,90.7184,300297
500298,29.0,203.2,95.25432,300298
500299,34.0,200.66,98.883056,300299
500300,24.0,213.36,120.20188,300300
500301,27.0,213.36,111.13004,300301
500302,29.0,215.9,117.93392,300302
500303,30.0,210.82,113.398,300303
500304,29.0,205.74,113.398,300304
500305,23.0,187.96,85.728888,300305
500306,26.0,205.74,111.13004,300306
500307,20.0,187.96,81.64656,300307
500308,23.0,213.36,111.13004,300308
500309,31.0,190.5,81.64656,300309
500310,23.0,190.5,88.45044,300310
500311,29.0,205.74,113.398,300311
500312,28.0,203.2,97.52228,300312
500313,25.0,187.96,94.347136,300313
500314,33.0,218.44,117.93392,300314
500315,27.0,180.34,81.64656,300315
500316,36.0,205.74,113.398,300316
500317,24.0,198.12,86.18248,300317
500318,25.0,193.04,86.18248,300318
500319,34.0,190.5,88.45044,300319
500320,24.0,208.28,102.0582,300320
500321,30.0,182.88,88.45044,300321
500322,33.0,208.28,111.13004,300322
500323,30.0,193.04,90.7184,300323
500324,27.0,198.12,85.275296,300324
500325,22.0,210.82,115.66596,300325
500326,38.0,208.28,99.79024,300326
500327,27.0,208.28,108.86208,300327
500328,30.0,205.74,102.0582,300328
500329,28.0,210.82,105.233344,300329
500330,29.0,208.28,113.398,300330
500331,23.0,223.52,155.582056,300331
500332,25.0,187.96,83.91452,300332
500333,31.0,185.42,81.64656,300333
500334,33.0,213.36,136.0776,300334
500335,31.0,190.5,95.25432,300335
500336,31.0,195.58,95.25432,300336
500337,21.0,210.82,99.79024,300337
500338,31.0,185.42,86.18248,300338
500339,26.0,213.36,104.779752,300339
500340,34.0,213.36,111.13004,300340
500341,24.0,190.5,91.171992,300341
500342,18.0,200.66,90.7184,300342
500343,24.0,205.74,106.59412,300343
500344,27.0,203.2,108.86208,300344
500345,36.0,208.28,111.13004,300345
500346,24.0,200.66,107.047712,300346
500347,28.0,200.66,119.294696,300347
500348,32.0,205.74,99.79024,300348
500349,28.0,203.2,104.32616,300349
500350,26.0,195.58,86.18248,300350
500351,25.0,195.58,86.18248,300351
500352,27.0,185.42,81.64656,300352
500353,26.0,187.96,88.45044,300353
500354,28.0,200.66,95.25432,300354
500355,27.0,185.42,83.91452,300355
500356,29.0,200.66,92.98636,300356
500357,23.0,195.58,81.192968,300357
500358,32.0,190.5,77.11064,300358
500359,26.0,185.42,76.203456,300359
500360,29.0,195.58,97.975872,300360
500361,26.0,198.12,97.52228,300361
500362,27.0,203.2,113.398,300362
500363,27.0,208.28,120.20188,300363
500364,23.0,195.58,95.25432,300364
500365,27.0,195.58,92.98636,300365
500366,27.0,203.2,106.59412,300366
500367,34.0,190.5,88.45044,300367
500368,35.0,213.36,122.923432,300368
500369,21.0,208.28,102.0582,300369
500370,24.0,200.66,95.25432,300370
500371,32.0,210.82,117.93392,300371
500372,24.0,208.28,117.93392,300372
500373,27.0,187.96,83.91452,300373
500374,31.0,195.58,83.91452,300374
500375,35.0,185.42,79.3786,300375
500376,23.0,205.74,102.0582,300376
500377,33.0,200.66,90.7184,300377
500378,27.0,195.58,92.98636,300378
500379,29.0,198.12,103.418976,300379
500380,24.0,205.74,113.398,300380
500381,33.0,205.74,116.119552,300381
500382,29.0,203.2,101.604608,300382
500383,27.0,210.82,113.398,300383
500384,32.0,203.2,97.52228,300384
500385,40.0,195.58,90.7184,300385
500386,21.0,210.82,108.86208,300386
500387,24.0,215.9,117.93392,300387
500388,24.0,200.66,99.79024,300388
500389,28.0,195.58,95.25432,300389
500390,24.0,200.66,97.52228,300390
500391,24.0,182.88,80.739376,300391
500392,34.0,198.12,97.975872,300392
500393,25.0,203.2,104.32616,300393
500394,33.0,208.28,117.93392,300394
500395,32.0,195.58,97.52228,300395
500396,26.0,195.58,95.25432,300396
500397,25.0,203.2,102.0582,300397
500398,23.0,187.96,85.275296,300398
500399,30.0,185.42,83.91452,300399
500400,35.0,205.74,112.490816,300400
500401,32.0,160.02,63.956472,300401
500402,32.0,195.58,90.7184,300402
500403,29.0,198.12,103.418976,300403
500404,25.0,185.42,83.007336,300404
500405,32.0,213.36,113.398,300405
500406,27.0,205.74,140.61352,300406
500407,23.0,205.74,106.59412,300407
500408,34.0,208.28,111.583632,300408
500409,27.0,210.82,108.86208,300409
500410,34.0,213.36,108.86208,300410
500411,30.0,205.74,95.25432,300411
500412,27.0,205.74,104.32616,300412
500413,23.0,195.58,97.52228,300413
500414,24.0,187.96,83.91452,300414
500415,28.0,208.28,108.86208,300415
500416,25.0,190.5,90.7184,300416
500417,27.0,200.66,102.0582,300417
500418,29.0,205.74,108.86208,300418
500419,28.0,218.44,132.448864,300419
500420,26.0,195.58,92.98636,300420
500421,28.0,185.42,73.481904,300421
500422,22.0,200.66,113.398,300422
500423,27.0,203.2,90.7184,300423
500424,23.0,210.82,99.79024,300424
500425,33.0,195.58,95.25432,300425
500426,28.0,208.28,120.20188,300426
500427,32.0,205.74,111.13004,300427
500428,23.0,190.5,83.91452,300428
500429,23.0,205.74,99.79024,300429
500430,32.0,190.5,83.91452,300430
500431,33.0,182.88,81.64656,300431
500432,26.0,208.28,99.79024,300432
500433,27.0,215.9,111.13004,300433
500434,36.0,208.28,111.583632,300434
500435,22.0,198.12,102.0582,300435
500436,22.0,205.74,106.59412,300436
500437,29.0,210.82,111.13004,300437
500438,30.0,208.28,106.59412,300438
500439,27.0,210.82,106.59412,300439
500440,24.0,200.66,95.25432,300440
500441,37.0,208.28,111.583632,300441
500442,21.0,198.12,106.59412,300442
500443,23.0,205.74,106.59412,300443
500444,30.0,210.82,111.13004,300444
500445,36.0,205.74,112.490816,300445
500446,28.0,215.9,111.13004,300446
500447,26.0,190.5,90.7184,300447
500448,21.0,205.74,117.93392,300448
500449,27.0,208.28,99.79024,300449
500450,31.0,208.28,106.59412,300450
500451,34.0,182.88,81.64656,300451
500452,27.0,195.58,92.98636,300452
500453,33.0,190.5,83.91452,300453
500454,24.0,205.74,99.79024,300454
500455,25.0,200.66,95.25432,300455
500456,33.0,205.74,111.13004,300456
500457,34.0,195.58,95.25432,300457
500458,24.0,205.74,106.59412,300458
500459,24.0,210.82,99.79024,300459
500460,28.0,203.2,90.7184,300460
500461,23.0,200.66,113.398,300461
500462,29.0,185.42,73.481904,300462
500463,30.0,187.96,86.636072,300463
500464,25.0,208.28,106.59412,300464
500465,29.0,195.58,102.965384,300465
500466,30.0,198.12,103.418976,300466
500467,35.0,198.12,97.975872,300467
500468,29.0,218.44,132.448864,300468
500469,24.0,223.52,147.4174,300469
500470,28.0,203.2,120.20188,300470
500471,32.0,185.42,81.64656,300471
500472,34.0,198.12,81.64656,300472
500473,29.0,208.28,108.86208,300473
500474,31.0,205.74,95.25432,300474
500475,35.0,213.36,115.66596,300475
500476,28.0,210.82,108.86208,300476
500477,35.0,208.28,111.583632,300477
500478,24.0,205.74,106.59412,300478
500479,25.0,200.66,97.52228,300479
500480,28.0,205.74,147.4174,300480
500481,26.0,185.42,86.18248,300481
500482,33.0,195.58,95.25432,300482
500483,33.0,160.02,63.956472,300483
500484,31.0,185.42,83.91452,300484
500485,26.0,203.2,102.0582,300485
500486,27.0,195.58,95.25432,300486
500487,33.0,195.58,97.52228,300487
500488,31.0,187.96,79.3786,300488
500489,23.0,208.28,104.32616,300489
500490,26.0,203.2,104.32616,300490
500491,29.0,208.28,105.233344,300491
500492,33.0,213.36,113.398,300492
500493,30.0,205.74,104.32616,300493
500494,27.0,185.42,76.203456,300494
500495,22.0,210.82,108.86208,300495
500496,30.0,203.2,101.604608,300496
500497,24.0,203.2,108.408488,300497
500498,34.0,205.74,116.119552,300498
500499,25.0,205.74,108.86208,300499
500500,30.0,198.12,103.418976,300500
500501,28.0,195.58,95.25432,300501
500502,24.0,205.74,99.79024,300502
500503,34.0,200.66,92.98636,300503
500504,24.0,205.74,102.0582,300504
500505,22.0,205.74,120.20188,300505
500506,36.0,185.42,79.3786,300506
500507,32.0,195.58,83.91452,300507
500508,28.0,185.42,83.91452,300508
500509,33.0,210.82,104.32616,300509
500510,25.0,200.66,95.25432,300510
500511,22.0,208.28,102.0582,300511
500512,36.0,210.82,115.66596,300512
500513,35.0,190.5,88.45044,300513
500514,28.0,195.58,92.98636,300514
500515,25.0,215.9,119.748288,300515
500516,27.0,198.12,99.79024,300516
500517,23.0,198.12,98.883056,300517
500518,23.0,193.04,95.25432,300518
500519,23.0,198.12,102.511792,300519
500520,22.0,220.98,96.161504,300520
500521,22.0,208.28,99.79024,300521
500522,23.0,210.82,115.66596,300522
500523,30.0,200.66,92.98636,300523
500524,28.0,185.42,88.45044,300524
500525,27.0,187.96,88.45044,300525
500526,28.0,185.42,81.64656,300526
500527,31.0,195.58,104.779752,300527
500528,26.0,195.58,83.91452,300528
500529,27.0,205.74,104.32616,300529
500530,27.0,195.58,86.18248,300530
500531,30.0,190.5,81.64656,300531
500532,29.0,200.66,119.294696,300532
500533,25.0,200.66,107.047712,300533
500534,28.0,205.74,90.7184,300534
500535,28.0,203.2,108.86208,300535
500536,19.0,200.66,95.25432,300536
500537,23.0,187.96,83.007336,300537
500538,25.0,190.5,91.171992,300538
500539,35.0,213.36,111.13004,300539
500540,27.0,213.36,104.779752,300540
500541,25.0,193.04,88.45044,300541
500542,32.0,185.42,86.18248,300542
500543,22.0,210.82,99.79024,300543
500544,32.0,190.5,86.18248,300544
500545,24.0,195.58,81.192968,300545
500546,30.0,195.58,97.975872,300546
500547,25.0,205.74,104.32616,300547
500548,23.0,210.82,102.0582,300548
500549,25.0,195.58,94.800728,300549
500550,24.0,187.96,84.821704,300550
500551,30.0,205.74,113.398,300551
500552,28.0,205.74,111.13004,300552
500553,25.0,198.12,86.18248,300553
500554,24.0,187.96,87.089664,300554
500555,22.0,210.82,108.86208,300555
500556,29.0,210.82,105.233344,300556
500557,31.0,205.74,102.0582,300557
500558,28.0,208.28,108.86208,300558
500559,39.0,208.28,99.79024,300559
500560,23.0,210.82,115.66596,300560
500561,28.0,198.12,85.275296,300561
500562,21.0,208.28,104.32616,300562
500563,31.0,193.04,90.7184,300563
500564,34.0,208.28,111.13004,300564
500565,31.0,182.88,88.45044,300565
500566,22.0,213.36,112.490816,300566
500567,27.0,200.66,97.52228,300567
500568,25.0,208.28,102.0582,300568
500569,35.0,190.5,88.45044,300569
500570,30.0,208.28,113.398,300570
500571,26.0,193.04,86.18248,300571
500572,31.0,208.28,113.398,300572
500573,37.0,205.74,113.398,300573
500574,30.0,190.5,83.91452,300574
500575,19.0,203.2,95.25432,300575
500576,26.0,200.66,103.418976,300576
500577,25.0,180.34,82.553744,300577
500578,25.0,205.74,93.439952,300578
500579,23.0,220.98,117.93392,300579
500580,28.0,213.36,111.13004,300580
500581,25.0,213.36,120.20188,300581
500582,35.0,200.66,92.98636,300582
500583,30.0,203.2,95.25432,300583
500584,24.0,210.82,113.398,300584
500585,32.0,213.36,108.86208,300585
500586,27.0,198.12,88.45044,300586
500587,24.0,208.28,104.32616,300587
500588,28.0,203.2,104.32616,300588
500589,28.0,180.34,78.471416,300589
500590,25.0,193.04,92.98636,300590
500591,23.0,208.28,127.00576,300591
500592,31.0,193.04,90.7184,300592
500593,32.0,198.12,95.25432,300593
500594,26.0,210.82,113.398,300594
500595,32.0,193.04,81.64656,300595
500596,25.0,177.8,68.945984,300596
500597,30.0,205.74,113.398,300597
500598,35.0,198.12,102.0582,300598
500599,22.0,185.42,80.739376,300599
500600,29.0,200.66,113.398,300600
500601,23.0,213.36,106.59412,300601
500602,30.0,215.9,117.93392,300602
500603,23.0,198.12,101.151016,300603
500604,34.0,218.44,117.93392,300604
500605,29.0,203.2,100.243832,300605
500606,34.0,200.66,97.52228,300606
500607,28.0,200.66,99.79024,300607
500608,28.0,190.5,83.91452,300608
500609,24.0,190.5,83.91452,300609
500610,24.0,208.28,106.59412,300610
500611,33.0,210.82,114.758776,300611
500612,22.0,200.66,95.25432,300612
500613,34.0,198.12,97.975872,300613
500614,24.0,198.12,102.0582,300614
500615,27.0,200.66,115.66596,300615
500616,31.0,190.5,83.91452,300616
500617,37.0,205.74,117.93392,300617
500618,29.0,187.96,86.18248,300618
500619,31.0,223.52,120.20188,300619
500620,38.0,193.04,97.52228,300620
500621,39.0,208.28,117.93392,300621
500622,28.0,200.66,109.769264,300622
500623,26.0,193.04,88.45044,300623
500624,28.0,193.04,86.18248,300624
500625,30.0,193.04,88.45044,300625
500626,27.0,200.66,115.66596,300626
500627,32.0,200.66,83.91452,300627
500628,30.0,193.04,88.45044,300628
500629,29.0,203.2,88.45044,300629
500630,27.0,208.28,99.79024,300630
500631,22.0,195.58,92.98636,300631
500632,22.0,205.74,108.86208,300632
500633,32.0,180.34,74.84268,300633
500634,24.0,190.5,88.45044,300634
500635,32.0,190.5,82.100152,300635
500636,30.0,185.42,81.64656,300636
500637,21.0,187.96,81.64656,300637
500638,27.0,205.74,102.0582,300638
500639,28.0,213.36,131.54168,300639
500640,29.0,203.2,92.98636,300640
500641,34.0,167.64,60.327736,300641
500642,31.0,185.42,88.45044,300642
500643,22.0,195.58,95.25432,300643
500644,26.0,210.82,113.398,300644
500645,23.0,210.82,120.20188,300645
500646,26.0,187.96,88.45044,300646
500647,26.0,228.6,112.490816,300647
500648,25.0,210.82,117.93392,300648
500649,21.0,205.74,104.32616,300649
500650,26.0,215.9,142.88148,300650
500651,24.0,198.12,95.25432,300651
500652,28.0,208.28,117.93392,300652
500653,29.0,205.74,92.98636,300653
500654,30.0,203.2,92.98636,300654
500655,32.0,200.66,103.418976,300655
500656,30.0,208.28,104.32616,300656
500657,27.0,200.66,98.883056,300657
500658,28.0,208.28,116.119552,300658
500659,36.0,200.66,102.0582,300659
500660,19.0,210.82,102.511792,300660
500661,23.0,205.74,115.212368,300661
500662,24.0,177.8,77.564232,300662
500663,37.0,200.66,97.52228,300663
500664,29.0,210.82,104.32616,300664
500665,25.0,185.42,86.18248,300665
500666,24.0,200.66,111.13004,300666
500667,29.0,208.28,109.769264,300667
500668,27.0,190.5,90.7184,300668
500669,36.0,200.66,100.697424,300669
500670,25.0,210.82,111.13004,300670
500671,31.0,208.28,102.0582,300671
500672,27.0,200.66,108.86208,300672
500673,30.0,203.2,97.52228,300673
500674,34.0,203.2,106.59412,300674
500675,28.0,210.82,111.13004,300675
500676,26.0,182.88,77.11064,300676
500677,25.0,208.28,111.13004,300677
500678,24.0,195.58,90.7184,300678
500679,22.0,193.04,87.996848,300679
500680,27.0,187.96,86.18248,300680
500681,21.0,190.5,91.625584,300681
500682,25.0,210.82,108.86208,300682
500683,23.0,213.36,112.944408,300683
500684,24.0,198.12,99.79024,300684
500685,32.0,198.12,99.79024,300685
500686,30.0,190.5,88.45044,300686
500687,33.0,210.82,108.86208,300687
500688,23.0,177.8,70.760352,300688
500689,30.0,208.28,104.32616,300689
500690,28.0,200.66,97.975872,300690
500691,32.0,203.2,103.418976,300691
500692,34.0,200.66,97.52228,300692
500693,23.0,205.74,106.59412,300693
500694,34.0,205.74,111.13004,300694
500695,39.0,210.82,117.93392,300695
500696,31.0,208.28,106.59412,300696
500697,23.0,203.2,99.79024,300697
500698,29.0,177.8,72.57472,300698
500699,32.0,203.2,98.883056,300699
500700,24.0,203.2,113.398,300700
500701,28.0,208.28,106.59412,300701
500702,32.0,218.44,118.387512,300702
500703,26.0,205.74,119.748288,300703
500704,35.0,208.28,106.59412,300704
500705,31.0,208.28,102.0582,300705
500706,31.0,208.28,117.93392,300706
500707,30.0,205.74,108.86208,300707
500708,36.0,193.04,93.439952,300708
500709,23.0,205.74,104.32616,300709
500710,23.0,185.42,90.7184,300710
500711,23.0,195.58,88.45044,300711
500712,29.0,203.2,103.872568,300712
500713,37.0,198.12,99.79024,300713
500714,22.0,200.66,117.93392,300714
500715,32.0,208.28,106.140528,300715
500716,30.0,185.42,81.64656,300716
500717,27.0,180.34,77.11064,300717
500718,24.0,200.66,104.32616,300718
500719,30.0,203.2,99.79024,300719
500720,31.0,180.34,73.935496,300720
500721,32.0,215.9,113.398,300721
500722,27.0,185.42,91.625584,300722
500723,34.0,195.58,83.91452,300723
500724,24.0,182.88,74.84268,300724
500725,31.0,210.82,113.398,300725
500726,29.0,187.96,83.91452,300726
500727,34.0,195.58,92.98636,300727
500728,25.0,205.74,108.86208,300728
500729,23.0,195.58,94.800728,300729
500730,41.0,205.74,97.52228,300730
