PlayerID,Name,Country,College,Draft_ID
0,A.C. Green,USA,Oregon State,10000
1,A.J. Bramlett,USA,Arizona,10001
2,A.J. Guyton,USA,Indiana,10002
3,AJ Hammons,USA,Purdue,10003
4,AJ Price,USA,Connecticut,10004
5,Aaron Brooks,USA,Oregon,10005
6,Aaron Gordon,USA,Arizona,10006
7,Aaron Gray,USA,Pittsburgh,10007
8,Aaron Harrison,USA,Kentucky,10008
9,Aaron Holiday,USA,UCLA,10009
10,Aaron Jackson,USA,None,10010
11,Aaron McKie,USA,Temple,10011
12,Aaron Miles,USA,Kansas,10012
13,Aaron Williams,USA,Xavier,10013
14,Abdel Nader,Egypt,Iowa State,10014
15,Acie Earl,USA,Iowa,10015
16,Acie Law,USA,Texas A&M,10016
17,Adam Harrington,USA,Auburn,10017
18,Adam Keefe,USA,Stanford,10018
19,Adam Mokoka,France,None,10019
20,Adam Morrison,USA,Gonzaga,10020
21,Admiral Schofield,United Kingdom,Tennessee,10021
22,Adonal Foyle,St. Vincent & Grenadines,Colgate,10022
23,Adonis Jordan,USA,Kansas,10023
24,Adonis Thomas,USA,Memphis,10024
25,Adreian Payne,USA,Michigan State,10025
26,Adrian Caldwell,USA,Lamar,10026
27,Adrian Griffin,USA,Seton Hall,10027
28,Al Harrington,USA,None,10028
29,Al Horford,Dominican Republic,Florida,10029
30,Al Jefferson,USA,None,10030
31,Al Thornton,USA,Florida State,10031
32,Al-Farouq Aminu,USA,Wake Forest,10032
33,Alan Anderson,USA,Michigan State,10033
34,Alan Henderson,USA,Indiana,10034
35,Alan Williams,USA,California-Santa Barbara,10035
36,Alando Tucker,USA,Wisconsin,10036
37,Alec Burks,USA,Colorado,10037
38,Alec Peters,USA,Valparaiso,10038
39,Aleksandar Djordjevic,USA,None,10039
40,Aleksandar Radojevic,USA,Barton Community College,10040
41,Alen Smailagic,Serbia,None,10041
42,Alex Abrines,Spain,None,10042
43,Alex Acker,USA,Pepperdine,10043
44,Alex Caruso,USA,Texas A&M,10044
45,Alex Garcia,USA,None,10045
46,Alex Kirk,USA,New Mexico,10046
47,Alex Len,Ukraine,Maryland,10047
48,Alex Poythress,USA,Kentucky,10048
49,Alex Scales,USA,Oregon,10049
50,Alex Stepheson,USA,USC,10050
51,Alexander Johnson,USA,Florida State,10051
52,Alexey Shved,Russia,None,10052
53,Alexis Ajinca,France,None,10053
54,Alfonzo McKinnie,USA,None,10054
55,Alize Johnson,USA,Missouri State,10055
56,Allan Houston,USA,Tennessee,10056
57,Allan Ray,USA,Villanova,10057
58,Allen Crabbe,USA,California,10058
59,Allen Iverson,USA,Georgetown,10059
60,Allonzo Trier,USA,Arizona,10060
61,Alonzo Gee,USA,Alabama,10061
62,Alonzo Mourning,USA,Georgetown,10062
63,Alton Ford,USA,Houston,10063
64,Alton Lister,USA,Arizona State,10064
65,Alvin Jones,USA,Georgia Tech,10065
66,Alvin Sims,USA,Louisville,10066
67,Alvin Williams,USA,Villanova,10067
68,Amal McCaskill,USA,Marquette,10068
69,Amar'e Stoudemire,USA,None,10069
70,Amile Jefferson,USA,Duke,10070
71,Amir Coffey,USA,None,10071
72,Amir Johnson,USA,None,10072
73,Anderson Varejao,Brazil,None,10073
74,Andrae Patterson,USA,Indiana,10074
75,Andray Blatche,USA,None,10075
76,Andre Barrett,USA,Seton Hall,10076
77,Andre Brown,USA,DePaul,10077
78,Andre Dawkins,USA,Duke,10078
79,Andre Drummond,USA,Connecticut,10079
80,Andre Emmett,USA,Texas Tech,10080
81,Andre Iguodala,USA,Arizona,10081
82,Andre Ingram,USA,American University,10082
83,Andre Miller,USA,Utah,10083
84,Andre Owens,USA,Houston,10084
85,Andre Roberson,USA,Colorado,10085
86,Andrea Bargnani,Italy,None,10086
87,Andreas Glyniadakis,USA,None,10087
88,Andrei Kirilenko,Russia,None,10088
89,Andres Nocioni,Argentina,None,10089
90,Andrew Bogut,Australia,Utah,10090
91,Andrew Bynum,USA,None,10091
92,Andrew DeClercq,USA,Florida,10092
93,Andrew Gaze,USA,Seton Hall,10093
94,Andrew Goudelock,USA,College of Charleston,10094
95,Andrew Harrison,USA,Kentucky,10095
96,Andrew Lang,USA,Arkansas,10096
97,Andrew Nicholson,Canada,St. Bonaventure,10097
98,Andrew White III,USA,Syracuse,10098
99,Andrew Wiggins,Canada,Kansas,10099
100,Andris Biedrins,Latvia,None,10100
101,Andy Panko,USA,Lebanon Valley,10101
102,Andy Rautins,USA,Syracuse,10102
103,Anfernee Hardaway,USA,Memphis,10103
104,Anfernee Simons,USA,None,10104
105,Angel Delgado,Dominican Republic,None,10105
106,Ansu Sesay,USA,Mississippi,10106
107,Antawn Jamison,USA,North Carolina,10107
108,Ante Zizic,Croatia,None,10108
109,Anthony Avent,USA,Seton Hall,10109
110,Anthony Bennett,Canada,Nevada-Las Vegas,10110
111,Anthony Bowie,USA,Oklahoma,10111
112,Anthony Brown,USA,Stanford,10112
113,Anthony Carter,USA,Hawaii,10113
114,Anthony Davis,USA,Kentucky,10114
115,Anthony Goldwire,USA,Houston,10115
116,Anthony Grundy,USA,North Carolina State,10116
117,Anthony Johnson,USA,College of Charleston,10117
118,Anthony Mason,USA,Tennessee State,10118
119,Anthony Miller,USA,Michigan State,10119
120,Anthony Morrow,USA,Georgia Tech,10120
121,Anthony Parker,USA,Bradley,10121
122,Anthony Peeler,USA,Missouri,10122
123,Anthony Randolph,USA,Louisiana State,10123
124,Anthony Roberson,USA,Florida,10124
125,Anthony Tolliver,USA,Creighton,10125
126,Antoine Carr,USA,Wichita State,10126
127,Antoine Rigaudeau,USA,None,10127
128,Antoine Walker,USA,Kentucky,10128
129,Antoine Wright,USA,Texas A&M,10129
130,Antonio Anderson,USA,Memphis,10130
131,Antonio Blakeney,USA,Louisiana State,10131
132,Antonio Burks,USA,Memphis,10132
133,Antonio Daniels,USA,Bowling Green,10133
134,Antonio Davis,USA,Texas-El Paso,10134
135,Antonio Harvey,USA,Pfeiffer,10135
136,Antonio Lang,USA,Duke,10136
137,Antonio McDyess,USA,Alabama,10137
