row_id,player_name,college,country,draft_number,draft_round,draft_year
138,A.C. Green,Oregon State,USA,23,1,1985
1538,A.J. Bramlett,Arizona,USA,39,2,1999
1759,A.J. Guyton,Indiana,USA,32,2,2000
9147,AJ Hammons,Purdue,USA,46,2,2016
5805,AJ Price,Connecticut,USA,52,2,2009
5025,Aaron Brooks,Oregon,USA,26,1,2007
8200,Aaron Gordon,Arizona,USA,4,1,2014
5026,Aaron Gray,Pittsburgh,USA,49,2,2007
8924,Aaron Harrison,Kentucky,USA,Undrafted,Undrafted,Undrafted
10627,Aaron Holiday,UCLA,USA,23,1,2018
9650,Aaron Jackson,None,USA,Undrafted,Undrafted,Undrafted
139,Aaron McKie,Temple,USA,17,1,1994
4281,Aaron Miles,Kansas,USA,Undrafted,Undrafted,Undrafted
140,Aaron Williams,Xavier,USA,Undrafted,Undrafted,Undrafted
9651,Abdel Nader,Iowa State,Egypt,58,2,2016
141,Acie Earl,Iowa,USA,19,1,1993
5028,Acie Law,Texas A&M,USA,11,1,2007
2714,Adam Harrington,Auburn,USA,Undrafted,Undrafted,Undrafted
142,Adam Keefe,Stanford,USA,10,1,1992
10794,Adam Mokoka,None,France,Undrafted,Undrafted,Undrafted
4578,Adam Morrison,Gonzaga,USA,3,1,2006
10795,Admiral Schofield,Tennessee,United Kingdom,42,2,2019
750,Adonal Foyle,Colgate,St. Vincent & Grenadines,8,1,1997
1058,Adonis Jordan,Kansas,USA,42,2,1993
7733,Adonis Thomas,Memphis,USA,Undrafted,Undrafted,Undrafted
8201,Adreian Payne,Michigan State,USA,15,1,2014
143,Adrian Caldwell,Lamar,USA,Undrafted,Undrafted,Undrafted
1460,Adrian Griffin,Seton Hall,USA,Undrafted,Undrafted,Undrafted
1037,Al Harrington,None,USA,25,1,1998
5032,Al Horford,Florida,Dominican Republic,3,1,2007
3820,Al Jefferson,None,USA,15,1,2004
5034,Al Thornton,Florida State,USA,14,1,2007
6498,Al-Farouq Aminu,Wake Forest,USA,8,1,2010
4275,Alan Anderson,Michigan State,USA,Undrafted,Undrafted,Undrafted
144,Alan Henderson,Indiana,USA,16,1,1995
8918,Alan Williams,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted
5035,Alando Tucker,Wisconsin,USA,29,1,2007
7128,Alec Burks,Colorado,USA,12,1,2011
9658,Alec Peters,Valparaiso,USA,54,2,2017
145,Aleksandar Djordjevic,None,USA,Undrafted,Undrafted,Undrafted
1463,Aleksandar Radojevic,Barton Community College,USA,12,1,1999
10799,Alen Smailagic,None,Serbia,39,2,2019
9097,Alex Abrines,None,Spain,32,2,2013
4273,Alex Acker,Pepperdine,USA,60,2,2005
9660,Alex Caruso,Texas A&M,USA,Undrafted,Undrafted,Undrafted
3360,Alex Garcia,None,USA,Undrafted,Undrafted,Undrafted
8207,Alex Kirk,New Mexico,USA,Undrafted,Undrafted,Undrafted
7740,Alex Len,Maryland,Ukraine,5,1,2013
9090,Alex Poythress,Kentucky,USA,Undrafted,Undrafted,Undrafted
4272,Alex Scales,Oregon,USA,Undrafted,Undrafted,Undrafted
8915,Alex Stepheson,USC,USA,Undrafted,Undrafted,Undrafted
4585,Alexander Johnson,Florida State,USA,45,2,2006
7578,Alexey Shved,None,Russia,Undrafted,Undrafted,Undrafted
5515,Alexis Ajinca,None,France,20,1,2008
9663,Alfonzo McKinnie,None,USA,Undrafted,Undrafted,Undrafted
10267,Alize Johnson,Missouri State,USA,50,2,2018
146,Allan Houston,Tennessee,USA,11,1,1993
