SeasonID,Current_Season,Team_Abbreviation,Player_ID
300000,1996-97,CHI,542
300001,1996-97,LAC,647
300002,1996-97,TOR,657
300003,1996-97,DAL,661
300004,1996-97,MIA,662
300005,1996-97,HOU,668
300006,1996-97,LAL,669
300007,1996-97,LAL,678
300008,1996-97,ATL,679
300009,1996-97,MIL,684
300010,1996-97,DEN,686
300011,1996-97,SEA,687
300012,1996-97,HOU,689
300013,1996-97,POR,694
300014,1996-97,VAN,698
300015,1996-97,VAN,701
300016,1996-97,NJN,702
300017,1996-97,DEN,704
300018,1996-97,LAC,706
300019,1996-97,SEA,708
300020,1996-97,BOS,710
300021,1996-97,IND,712
300022,1996-97,DAL,714
300023,1996-97,DEN,720
300024,1996-97,IND,641
300025,1996-97,SAC,640
300026,1996-97,MIN,632
300027,1996-97,PHI,631
300028,1996-97,ORL,534
300029,1996-97,ORL,544
300030,1996-97,LAL,550
300031,1996-97,DAL,552
300032,1996-97,ORL,554
300033,1996-97,ATL,556
300034,1996-97,PHI,560
300035,1996-97,IND,564
300036,1996-97,SEA,574
300037,1996-97,SAS,579
300038,1996-97,PHX,588
300039,1996-97,NJN,727
300040,1996-97,CHI,593
300041,1996-97,BOS,597
300042,1996-97,SAS,605
300043,1996-97,PHI,606
300044,1996-97,DET,607
300045,1996-97,CHH,608
300046,1996-97,TOR,610
300047,1996-97,ATL,614
300048,1996-97,CLE,615
300049,1996-97,POR,624
300050,1996-97,GSW,625
300051,1996-97,TOR,629
300052,1996-97,ATL,595
300053,1996-97,CHH,533
300054,1996-97,GSW,731
300055,1996-97,PHI,742
300056,1996-97,PHX,850
300057,1996-97,PHX,851
300058,1996-97,UTA,852
300059,1996-97,TOR,853
300060,1996-97,MIA,860
300061,1996-97,POR,873
300062,1996-97,ATL,882
300063,1996-97,NJN,904
300064,1996-97,IND,922
300065,1996-97,MIA,927
300066,1996-97,MIN,948
300067,1996-97,MIA,949
300068,1996-97,SAS,957
300069,1996-97,DAL,958
300070,1996-97,WAS,972
300071,1996-97,CHI,985
300072,1996-97,PHX,990
300073,1996-97,DAL,995
300074,1996-97,NJN,1012
300075,1996-97,SAC,1017
300076,1996-97,UTA,1019
300077,1996-97,DEN,1020
300078,1996-97,POR,1041
300079,1996-97,ORL,848
300080,1996-97,SEA,844
300081,1996-97,NYK,843
300082,1996-97,ATL,840
300083,1996-97,DAL,745
300084,1996-97,MIA,760
300085,1996-97,SEA,763
300086,1996-97,POR,765
300087,1996-97,WAS,767
300088,1996-97,VAN,771
300089,1996-97,LAL,772
300090,1996-97,DEN,773
300091,1996-97,ORL,782
300092,1996-97,WAS,784
300093,1996-97,CHH,790
300094,1996-97,BOS,736
300095,1996-97,MIL,791
300096,1996-97,DET,801
300097,1996-97,SAS,804
300098,1996-97,VAN,805
300099,1996-97,DAL,807
300100,1996-97,UTA,808
300101,1996-97,SEA,809
300102,1996-97,BOS,810
300103,1996-97,UTA,813
300104,1996-97,HOU,822
300105,1996-97,WAS,832
300106,1996-97,IND,837
300107,1996-97,DET,799
300108,1996-97,BOS,531
300109,1996-97,MIN,526
300110,1996-97,MIL,506
300111,1996-97,WAS,151
300112,1996-97,SAS,156
300113,1996-97,GSW,159
300114,1996-97,PHX,164
300115,1996-97,WAS,172
300116,1996-97,TOR,174
300117,1996-97,CHI,178
300118,1996-97,SAC,180
300119,1996-97,GSW,182
300120,1996-97,CHI,184
300121,1996-97,VAN,187
300122,1996-97,LAC,188
300123,1996-97,CLE,190
300124,1996-97,SAC,193
300125,1996-97,CLE,196
300126,1996-97,TOR,207
300127,1996-97,LAC,229
300128,1996-97,HOU,230
300129,1996-97,IND,231
300130,1996-97,BOS,232
300131,1996-97,ORL,237
300132,1996-97,SAC,238
300133,1996-97,ORL,242
300134,1996-97,POR,150
300135,1996-97,MIL,143
300136,1996-97,DEN,137
300137,1996-97,CLE,136
300138,1996-97,DAL,0
300139,1996-97,DET,11
300140,1996-97,VAN,13
300141,1996-97,MIL,15
300142,1996-97,UTA,18
300143,1996-97,PHI,26
300144,1996-97,ATL,34
300145,1996-97,POR,39
300146,1996-97,NYK,56
300147,1996-97,PHI,59
300148,1996-97,MIA,62
300149,1996-97,DEN,248
300150,1996-97,BOS,64
300151,1996-97,GSW,92
300152,1996-97,MIL,96
300153,1996-97,ORL,103
300154,1996-97,DEN,115
300155,1996-97,CHH,118
300156,1996-97,ATL,119
300157,1996-97,VAN,122
300158,1996-97,UTA,126
300159,1996-97,BOS,128
300160,1996-97,IND,134
300161,1996-97,SEA,135
300162,1996-97,ORL,68
300163,1996-97,MIA,249
300164,1996-97,VAN,254
300165,1996-97,DEN,255
300166,1996-97,POR,382
300167,1996-97,TOR,383
300168,1996-97,HOU,385
300169,1996-97,LAL,396
300170,1996-97,SAC,397
300171,1996-97,SAS,399
300172,1996-97,SEA,410
300173,1996-97,MIL,413
300174,1996-97,IND,431
300175,1996-97,DEN,432
300176,1996-97,TOR,443
300177,1996-97,PHI,379
300178,1996-97,MIA,449
300179,1996-97,BOS,452
300180,1996-97,CLE,462
300181,1996-97,PHX,466
300182,1996-97,ORL,483
300183,1996-97,LAC,486
300184,1996-97,ATL,487
300185,1996-97,IND,490
300186,1996-97,SAS,498
300187,1996-97,ORL,501
300188,1996-97,BOS,503
300189,1996-97,SEA,505
300190,1996-97,ORL,451
300191,1996-97,DEN,1044
300192,1996-97,MIL,378
300193,1996-97,WAS,369
300194,1996-97,UTA,260
300195,1996-97,NYK,262
300196,1996-97,LAL,265
300197,1996-97,WAS,272
300198,1996-97,SAS,282
300199,1996-97,CLE,284
300200,1996-97,TOR,289
300201,1996-97,PHX,300
300202,1996-97,HOU,308
300203,1996-97,HOU,312
300204,1996-97,NYK,314
300205,1996-97,ATL,373
300206,1996-97,SAS,317
300207,1996-97,MIN,326
300208,1996-97,MIN,334
300209,1996-97,NYK,335
300210,1996-97,POR,341
300211,1996-97,NJN,344
300212,1996-97,NYK,348
300213,1996-97,CLE,355
300214,1996-97,UTA,356
300215,1996-97,GSW,357
300216,1996-97,VAN,363
300217,1996-97,WAS,368
300218,1996-97,NYK,320
300219,1996-97,LAL,1049
300220,1996-97,IND,743
300221,1996-97,PHI,1055
300222,1996-97,POR,1839
300223,1996-97,NJN,1856
300224,1996-97,HOU,1859
300225,1996-97,MIN,1860
300226,1996-97,SEA,1861
300227,1996-97,DAL,1863
300228,1996-97,DEN,1867
300229,1996-97,DAL,1868
300230,1996-97,NYK,1873
300231,1996-97,GSW,1874
300232,1996-97,PHI,1877
300233,1996-97,POR,1832
300234,1996-97,CHI,1878
300235,1996-97,LAL,1887
300236,1996-97,HOU,1891
300237,1996-97,UTA,1907
300238,1996-97,MIN,1910
300239,1996-97,LAL,1914
300240,1996-97,VAN,1915
300241,1996-97,TOR,1916
300242,1996-97,DAL,1920
300243,1996-97,SEA,1921
