StatsID,AvgPoints,AvgRebounds,AvgAssists,Net_Rating,Games_Played,OffRebounds,DefRebounds,TeamPlays,ShootingEff,AssistPct,Season_ID
400000,5.7,16.1,3.1,16.1,55,0.18600000000000003,0.32299999999999995,0.1,0.479,0.113,300000
400001,2.3,1.5,0.3,12.3,15,0.078,0.151,0.175,0.43,0.048,300001
400002,0.8,1.0,0.4,-2.1,9,0.105,0.102,0.10300000000000001,0.376,0.14800000000000002,300002
400003,3.7,2.3,0.6,-8.7,64,0.06,0.149,0.16699999999999998,0.39899999999999997,0.077,300003
400004,2.4,2.4,0.2,-11.2,27,0.109,0.179,0.127,0.611,0.04,300004
400005,8.2,2.7,1.0,4.1,52,0.034,0.126,0.22,0.541,0.102,300005
400006,17.2,4.1,3.4,4.1,80,0.035,0.091,0.209,0.5589999999999999,0.149,300006
400007,14.9,8.0,1.6,3.3,77,0.095,0.183,0.222,0.52,0.087,300007
400008,5.7,1.6,1.3,-0.3,71,0.036000000000000004,0.076,0.172,0.539,0.141,300008
400009,6.9,1.5,3.0,-1.2,82,0.018000000000000002,0.081,0.177,0.557,0.262,300009
400010,2.4,0.4,1.2,-7.4,9,0.0,0.053,0.187,0.47,0.21600000000000003,300010
400011,0.0,0.0,0.0,-147.5,1,0.0,0.0,0.126,0.0,0.0,300011
400012,5.0,1.7,2.0,6.6,13,0.011000000000000001,0.098,0.14400000000000002,0.565,0.191,300012
400013,1.3,1.0,1.0,-57.4,3,0.0,0.15,0.115,0.5,0.375,300013
400014,1.7,1.8,0.3,-3.9,20,0.044000000000000004,0.258,0.175,0.444,0.067,300014
400015,2.6,2.1,0.5,-15.4,28,0.106,0.102,0.158,0.47200000000000003,0.076,300015
400016,4.4,6.6,0.8,-6.6,78,0.107,0.20600000000000002,0.11199999999999999,0.452,0.05,300016
400017,3.8,0.9,2.0,-1.4,12,0.01,0.102,0.188,0.588,0.436,300017
400018,6.0,1.6,0.8,2.4,65,0.071,0.08800000000000001,0.22,0.579,0.111,300018
400019,3.0,1.0,2.4,-1.2,67,0.027000000000000003,0.085,0.145,0.515,0.33899999999999997,300019
400020,15.0,4.6,1.8,-6.8,72,0.057,0.107,0.207,0.5329999999999999,0.087,300020
400021,5.1,4.1,0.6,-2.0,72,0.107,0.21600000000000003,0.218,0.451,0.07400000000000001,300021
400022,10.6,3.2,2.4,-6.4,28,0.032,0.11199999999999999,0.21600000000000003,0.51,0.161,300022
400023,7.1,11.1,0.9,-5.9,82,0.10300000000000001,0.294,0.114,0.5429999999999999,0.042,300023
400024,6.4,2.3,1.1,2.3,62,0.066,0.091,0.18100000000000002,0.521,0.1,300024
400025,2.6,2.8,0.4,-11.8,46,0.11199999999999999,0.14300000000000002,0.111,0.535,0.055999999999999994,300025
400026,7.8,2.2,1.7,-3.1,68,0.024,0.07,0.14300000000000002,0.505,0.092,300026
400027,3.6,1.1,1.7,-1.3,61,0.031,0.085,0.172,0.514,0.258,300027
400028,1.0,0.0,0.0,-53.7,2,0.0,0.0,0.185,0.258,0.0,300028
400029,12.5,3.1,2.1,1.9,66,0.021,0.092,0.188,0.519,0.106,300029
400030,3.9,1.2,1.5,5.1,80,0.031,0.087,0.18600000000000003,0.491,0.223,300030
400031,10.0,1.8,4.3,-7.7,75,0.016,0.057,0.18100000000000002,0.516,0.252,300031
400032,8.5,6.3,0.9,-0.7,82,0.1,0.20800000000000002,0.182,0.513,0.064,300032
400033,0.0,2.0,0.0,-39.9,2,0.188,0.2,0.213,0.0,0.0,300033
400034,18.1,10.1,3.4,-5.4,57,0.08,0.225,0.24,0.518,0.161,300034
400035,8.0,4.8,2.7,-0.2,50,0.067,0.127,0.16699999999999998,0.462,0.154,300035
400036,16.8,6.5,4.4,12.2,61,0.049,0.166,0.21100000000000002,0.5920000000000001,0.2,300036
400037,3.0,2.3,0.3,-42.1,6,0.113,0.25,0.263,0.319,0.071,300037
400038,2.4,0.8,0.0,-19.6,8,0.057999999999999996,0.071,0.231,0.42200000000000004,0.0,300038
400039,2.6,0.6,0.4,17.5,5,0.026000000000000002,0.049,0.192,0.38799999999999996,0.065,300039
400040,1.9,1.9,0.6,-0.9,48,0.099,0.151,0.163,0.41100000000000003,0.11199999999999999,300040
400041,14.0,8.4,1.9,-3.3,25,0.057999999999999996,0.217,0.22699999999999998,0.47100000000000003,0.092,300041
400042,18.2,6.4,1.9,-10.3,63,0.10099999999999999,0.154,0.297,0.517,0.11800000000000001,300042
400043,10.9,3.8,1.0,-5.9,37,0.06,0.152,0.264,0.493,0.091,300043
400044,2.8,2.1,0.3,-1.5,47,0.092,0.159,0.154,0.523,0.053,300044
400045,3.5,2.5,0.4,-4.6,62,0.073,0.13699999999999998,0.131,0.552,0.047,300045
400046,2.2,0.4,1.3,-12.4,27,0.009000000000000001,0.046,0.134,0.479,0.23399999999999999,300046
400047,2.5,0.7,0.6,-10.3,22,0.051,0.059000000000000004,0.244,0.37799999999999995,0.146,300047
400048,3.1,1.3,0.4,-8.7,56,0.045,0.11800000000000001,0.19,0.47600000000000003,0.085,300048
400049,4.5,2.9,1.0,1.3,47,0.132,0.14400000000000002,0.204,0.501,0.14,300049
400050,7.3,4.5,0.9,-8.6,61,0.098,0.21,0.222,0.478,0.08800000000000001,300050
400051,14.5,5.3,3.9,-2.6,81,0.031,0.135,0.184,0.5429999999999999,0.165,300051
400052,13.3,11.6,1.4,8.1,80,0.11199999999999999,0.256,0.179,0.584,0.066,300052
400053,14.8,3.1,1.7,1.6,68,0.024,0.098,0.226,0.562,0.10400000000000001,300053
400054,5.1,5.7,0.3,-1.2,73,0.124,0.205,0.128,0.524,0.02,300054
400055,2.9,2.0,0.7,1.4,7,0.065,0.156,0.13,0.521,0.106,300055
400056,1.7,0.9,0.2,11.5,20,0.048,0.13699999999999998,0.19,0.539,0.055999999999999994,300056
400057,8.0,8.3,1.5,4.3,68,0.099,0.19899999999999998,0.122,0.5379999999999999,0.067,300057
400058,4.5,1.0,2.4,2.5,82,0.024,0.067,0.192,0.53,0.29600000000000004,300058
400059,5.0,1.1,0.9,-3.3,36,0.02,0.054000000000000006,0.154,0.466,0.08800000000000001,300059
400060,9.7,5.8,1.2,2.9,82,0.09,0.218,0.22699999999999998,0.536,0.1,300060
400061,16.1,4.0,2.6,3.4,76,0.045,0.09699999999999999,0.22899999999999998,0.557,0.129,300061
400062,1.4,2.8,0.3,2.5,72,0.10400000000000001,0.18899999999999997,0.083,0.439,0.042,300062
400063,2.0,1.6,0.3,5.0,20,0.16699999999999998,0.284,0.22399999999999998,0.441,0.08800000000000001,300063
400064,7.3,1.8,2.3,1.3,66,0.027999999999999997,0.095,0.214,0.541,0.23399999999999999,300064
400065,11.9,4.3,2.9,1.4,69,0.037000000000000005,0.121,0.207,0.48700000000000004,0.158,300065
400066,8.3,1.6,1.8,-2.7,69,0.021,0.076,0.207,0.537,0.163,300066
400067,0.1,0.8,0.4,-14.7,8,0.036000000000000004,0.147,0.158,0.055999999999999994,0.136,300067
400068,3.7,5.2,0.6,-12.2,41,0.133,0.253,0.15,0.405,0.065,300068
400069,3.4,2.0,1.4,-7.8,23,0.069,0.098,0.149,0.493,0.159,300069
400070,5.0,1.8,0.9,1.7,75,0.03,0.10400000000000001,0.16699999999999998,0.52,0.09,300070
400071,7.3,4.0,1.2,9.0,75,0.114,0.134,0.184,0.574,0.094,300071
400072,10.9,4.5,9.0,2.4,55,0.039,0.106,0.17,0.498,0.37,300072
400073,2.4,1.0,0.3,-24.2,8,0.018000000000000002,0.14,0.172,0.413,0.067,300073
400074,13.4,13.5,1.2,-8.8,41,0.16699999999999998,0.248,0.209,0.44299999999999995,0.062,300074
400075,3.6,1.5,1.0,0.7,25,0.077,0.067,0.154,0.496,0.124,300075
400076,14.5,2.9,4.4,14.4,82,0.031,0.08199999999999999,0.2,0.596,0.21,300076
400077,5.0,0.5,1.4,-17.8,13,0.021,0.04,0.259,0.609,0.327,300077
400078,4.1,2.8,0.2,1.3,45,0.099,0.198,0.19899999999999998,0.494,0.03,300078
400079,12.6,9.0,2.4,1.1,67,0.094,0.19,0.161,0.546,0.11199999999999999,300079
400080,13.9,3.9,3.0,10.3,82,0.04,0.098,0.17300000000000001,0.616,0.14300000000000002,300080
400081,1.9,1.5,0.2,-10.8,21,0.055999999999999994,0.141,0.132,0.408,0.045,300081
400082,6.7,1.5,0.4,1.2,53,0.034,0.067,0.171,0.555,0.036000000000000004,300082
400083,1.8,0.8,0.0,-13.1,12,0.053,0.17800000000000002,0.265,0.52,0.0,300083
400084,3.9,1.4,1.6,3.2,28,0.028999999999999998,0.105,0.19399999999999998,0.46,0.215,300084
400085,21.8,4.6,7.1,10.3,82,0.04,0.102,0.264,0.545,0.33,300085
400086,10.8,5.2,1.1,2.5,82,0.10099999999999999,0.16699999999999998,0.212,0.569,0.077,300086
400087,3.8,1.3,0.3,8.9,4,0.03,0.111,0.174,0.49700000000000005,0.043,300087
400088,8.3,6.4,1.9,-8.2,41,0.106,0.185,0.175,0.512,0.125,300088
400089,10.2,2.8,1.7,-2.7,64,0.027000000000000003,0.111,0.20600000000000002,0.527,0.125,300089
400090,2.8,1.7,0.3,-14.1,52,0.102,0.16899999999999998,0.195,0.5,0.064,300090
